Index,Item,Description
1,Extended Product Type:,SH201-C16SH201-C16
2,Product ID:,2CDS211001R01642CDS211001R0164
3,EAN:,40167796306414016779630641
4,Catalog Description:,SH201-C16 Miniature Circuit Breaker - 1P - C - 16 ASH201-C16 Miniature Circuit Breaker - 1P - C - 16 A
5,Long Description:,"Compact Home SH200 miniature circuit breakers are current limiting. They have two different tripping mechanisms, the delayed thermal tripping mechanism for overload protection and the electromechanic tripping mechanism for short circuit protection. They are available in different characteristics (B,C), 
configurations (1P,1P+N,2P,3P,3P+N,4P), breaking capacities (up to 6 kA at 230/400 V AC) and rated currents (up to 40 A). All MCBs of the product range SH200 comply with IEC/EN 60898-1, allowing the use for residential applications.Compact Home SH200 miniature circuit breakers are current limiting. They have two different tripping mechanisms, the delayed thermal tripping mechanism for overload protection and the electromechanic tripping mechanism for short circuit protection. They are available in different characteristics (B,C), 
configurations (1P,1P+N,2P,3P,3P+N,4P), breaking capacities (up to 6 kA at 230/400 V AC) and rated currents (up to 40 A). All MCBs of the product range SH200 comply with IEC/EN 60898-1, allowing the use for residential applications."
